English,Russian
furniture,мебель - mebelio
glass,стекло - steklo
hat,шляпа - shliapa
house,дом - dom
ink,чернила - chernila
jacket,куртка - kurtka
kitchen,кухня - kuhnia
knife,нож - noz
lamp,лампа - lampa
letter,письмо - pisioo
map,карта - karta
newspaper,газета - gazeta
notebook,блокнот - bloknot
pants,брюки - briuki
paper,бумага - bumaga
pen,ручка - ruchka
pencil,карандаш - karandash
pharmacy,аптека - apteka
picture,изображение - izobrazenie
plate,плита - plita
refrigerator,холодильник - holodilioik
restaurant,ресторан - restoran
roof,крыша - krыsha
room,комната - komnata
rug,ковер - kover
scissors,ножницы - noznicы
shampoo,шампунь - shampunio
shirt,рубашка - rubashka
shoes,обувь - obuvio
soap,мыло - mыlo
socks,носки - noski
spoon,ложка - lozka
table,стол - stol
toilet,туалет - tualet
toothbrush,зубная щетка - zubnaia shtetka
toothpaste,зубная паста - zubnaia pasta
towel,полотенце - polotence
umbrella,зонтик - zontik
underwear,нижнее белье - niznee belio
wall,стена - stena
wallet,бумажник - bumaznik
window,окно - okno
telephone,телефон - telefon
,
this,это - эto
that,что - chto
these,эти - эti
those,те - te
,
Questions,
how?,каким образом? - kakim obrazom?
what?,что? - chto?
who?,кто? - kto?
why?,почему? - pochemu?
where?,где? - gde?
,
different objects,различные объекты - razlichnыe obaektы
art,искусство - iskusstvo
bank,банк - bank
beach,пляж - pliaz
book,книга - kniga
by bicycle,велосипедом - velosipedom
by bus,автобусом - avtobusom
by car,машиной - mashinoi
by train,поездом - poezdom
cafe,кафе - kafe
country,страна - strana
desert,пустыня - pustыnia
dictionary,словарь - slovario
earth,земля - zemlia
flowers,цветы - cvetы
football,футбол - futbol
forest,лес - les
game,игра - igra
garden,сад - sad
geography,география - geografia
history,история - istoria
house,дом - dom
island,остров - ostrov
lake,озеро - ozero
library,библиотека - biblioteka
math,математика - matematika
moon,луна - luna
mountain,гора - gora
movies,фильмы - filioы
music,музыка - muzыka
ocean,океан - okean
office,офис - ofis
on foot,на ногах - na nogah
player,игрок - igrok
river,река - reka
science,наука - nauka
sea,море - more
sky,небо - nebo
soccer,футбол - futbol
stars,звезды - zvezdы
supermarket,магазин - magazin
swimming pool,бассейн - bassein
theater,театр - teatr
tree,дерево - derevo
